"Babogaya Resort keessatti kaffaltiin hammam?
",Qarshii 1200 hanga Qarshii 3000 
"Hilton Hotel eessatti argama?
",Addis Ababa keessatti argama
"Hilton Hotel maal qaba?
",Tajaajila sadarkaa olaanaa qaba
"Hilton Hotel keessatti kaffaltiin hammam?
",Qarshii 3000 hanga Qarshii 8000 
"Sheraton Hotel eessatti argama?
",Addis Ababa keessatti argama
"Sheraton maaliin beekama?
",Hoteela sadarkaa addunyaa dha
Sheraton keessatti kaffaltiin hammam?,"Qarshii 5000 hanga 15000 
"
Skylight Hotel eessatti argama?,Addis Ababa keessatti argama
Skylight maal qaba?,Tajaajila ammayyaa qaba
Skylight keessatti kaffaltiin hammam?,Qarshii 2500 hanga Qarshii 7000 
"Ghion Hotel eessatti argama?
",Addis Ababa keessatti argama
Ghion maal qaba?,"Seenaa dheeraa fi tajaajila gaarii qaba
"
"Ghion keessatti kaffaltiin hammam?
",Qarshii 1000 hanga 3000 
"Harmony Hotel eessatti argama?
",Addis Ababa keessatti argama
Harmony maal qaba?,Mana nyaataa fi ciisicha gaarii qaba
"Harmony keessatti kaffaltiin hammam?
",Qarshii 2000 hanga 5000 
"Haile Resort eessatti argama?
",Hawassa keessatti argama
Haile Resort maal qaba?,Bishaan qarqara fi iddoo bashannanaa qaba
"Haile Resort keessatti kaffaltiin hammam?
",Qarshii 2000 hanga 6000 
"Hawassa eessatti argama?
",Naannoo Sidamaa keessatti argama
"Hawassa maaliin beekama?
",Haroo fi bashannanaan beekama
"Hawassa keessatti maal daawwatamuu danda’a?
",Haroo fi bineensota
"Arba Minch eessatti argama?
",Naannoo Kibba Itoophiyaa keessatti argama
"Arba Minch maaliin beekama?
",Haroo lama qabaachuun beekama
Arba Minch keessatti maal daawwatamuu danda’a?,Haroo Abaya fi Chamo
"Nechisar Park eessatti argama?
",Arba Minch keessatti argama
"Nechisar maal qaba?
",Bineensota fi lafa bal’aa qaba
Nechisar keessatti maal daawwatamuu danda’a?,Zebra fi bineensota
"Turizimii Oromiyaa maal of keessaa qaba?
","Haroo, bosonaa fi bineensota qaba"
"Turizimii Amaaraa maal of keessaa qaba?
",Seenaa fi bakka amantii qaba
"Turizimii Itoophiyaa maaliin beekama?
",Aadaa fi seenaa adda addaatiin beekama
Turistiin maal gochuu danda’a?,"Daawwachuu, bashannanuu fi barachuu danda’a"
"Yeroo gaarii turizimii yoomi?
",Yeroo bonaa yeroo baay’ee gaarii dha
"Hoteelli maal kennu?
","Mana ciisichaa, nyaata fi tajaajila"
"Geejjibni Addis Ababa keessatti akkam?
",Baasiin salphaa fi salphaa dha
"Turistiin Afaan Oromo fayyadamuun danda’aa?
",Eeyyee Oromiyaatti ni danda’ama
"Nyaanni Itoophiyaa maal fa’i?
",Injeraa fi wot beekamoo dha
Turizimii guddisuuf maal barbaachisa?,"Beeksisa, nageenya fi misooma"
Wanchi eessa keessatti argama?,Wanchi Oromiyaa keessatti naannoo Shawaa Kibbaa keessatti argama
